plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,5,9,5,4,raceblind
1,5,9,5,3,raceblind
2,5,9,5,3,raceblind
3,5,9,5,3,raceblind
4,5,9,5,2,raceblind
5,5,9,5,2,raceblind
6,5,9,5,2,raceblind
7,5,9,5,2,raceblind
8,5,9,5,2,raceblind
9,5,9,5,2,raceblind
10,6,8,5,2,raceblind
11,6,8,5,2,raceblind
12,6,8,5,2,raceblind
13,6,8,5,3,raceblind
14,5,9,5,3,raceblind
15,5,9,5,3,raceblind
16,5,9,5,3,raceblind
17,5,9,5,3,raceblind
18,5,9,5,3,raceblind
19,5,9,4,3,raceblind
20,5,9,4,3,raceblind
21,5,9,4,4,raceblind
22,5,9,4,4,raceblind
23,6,8,4,4,raceblind
24,6,8,4,4,raceblind
25,6,8,4,4,raceblind
26,6,8,4,4,raceblind
27,6,8,4,4,raceblind
28,5,9,4,4,raceblind
29,5,9,4,4,raceblind
30,5,9,4,4,raceblind
31,5,9,4,4,raceblind
32,5,9,4,4,raceblind
33,5,9,4,4,raceblind
34,5,9,4,4,raceblind
35,6,8,4,4,raceblind
36,6,8,4,4,raceblind
37,6,8,4,4,raceblind
38,6,8,4,4,raceblind
39,6,8,4,4,raceblind
40,6,8,4,4,raceblind
41,6,8,4,4,raceblind
42,6,8,4,4,raceblind
43,6,8,4,4,raceblind
44,7,7,5,4,raceblind
45,7,7,5,4,raceblind
46,7,7,5,4,raceblind
47,7,7,5,4,raceblind
48,7,7,5,4,raceblind
49,6,8,4,4,raceblind
50,6,8,4,3,raceblind
51,6,8,4,3,raceblind
52,6,8,4,3,raceblind
53,6,8,4,3,raceblind
54,5,9,3,3,raceblind
55,5,9,3,3,raceblind
56,5,9,3,3,raceblind
57,5,9,3,3,raceblind
58,5,9,3,3,raceblind
59,5,9,3,3,raceblind
60,6,8,4,3,raceblind
61,6,8,4,3,raceblind
62,6,8,4,3,raceblind
63,5,9,3,3,raceblind
64,5,9,3,3,raceblind
65,5,9,3,3,raceblind
66,5,9,3,3,raceblind
67,5,9,3,3,raceblind
68,5,9,3,3,raceblind
69,5,9,3,3,raceblind
70,5,9,3,3,raceblind
71,4,10,3,3,raceblind
72,4,10,3,3,raceblind
73,4,10,3,3,raceblind
74,4,10,3,3,raceblind
75,4,10,3,3,raceblind
76,4,10,3,3,raceblind
77,5,9,3,3,raceblind
78,5,9,3,3,raceblind
79,5,9,3,2,raceblind
80,4,10,3,2,raceblind
81,4,10,3,2,raceblind
82,4,10,3,2,raceblind
83,4,10,3,2,raceblind
84,4,10,3,2,raceblind
85,4,10,3,2,raceblind
86,5,9,4,2,raceblind
87,5,9,4,2,raceblind
88,5,9,4,2,raceblind
89,5,9,4,2,raceblind
90,5,9,4,2,raceblind
91,5,9,4,2,raceblind
92,5,9,4,2,raceblind
93,5,9,4,2,raceblind
94,5,9,4,2,raceblind
95,6,8,4,2,raceblind
96,6,8,4,2,raceblind
97,5,9,3,2,raceblind
98,5,9,3,2,raceblind
99,5,9,3,2,raceblind
100,5,9,3,2,raceblind
101,5,9,3,3,raceblind
102,5,9,3,3,raceblind
103,5,9,3,3,raceblind
104,5,9,3,3,raceblind
105,5,9,3,3,raceblind
106,5,9,3,3,raceblind
107,4,10,3,3,raceblind
108,4,10,3,3,raceblind
109,4,10,3,3,raceblind
110,4,10,3,3,raceblind
111,4,10,3,3,raceblind
112,4,10,3,3,raceblind
113,4,10,3,3,raceblind
114,4,10,3,3,raceblind
115,4,10,3,3,raceblind
116,5,9,4,3,raceblind
117,5,9,4,3,raceblind
118,5,9,5,2,raceblind
119,5,9,5,2,raceblind
120,5,9,4,2,raceblind
121,5,9,4,2,raceblind
122,5,9,5,2,raceblind
123,6,8,5,2,raceblind
124,6,8,5,3,raceblind
125,5,9,5,4,raceblind
126,5,9,5,4,raceblind
127,5,9,5,3,raceblind
128,5,9,5,2,raceblind
129,5,9,5,2,raceblind
130,5,9,5,2,raceblind
131,5,9,5,2,raceblind
132,5,9,5,2,raceblind
133,5,9,5,2,raceblind
134,5,9,5,2,raceblind
135,5,9,5,2,raceblind
136,5,9,5,2,raceblind
137,5,9,5,2,raceblind
138,6,8,5,2,raceblind
139,6,8,5,2,raceblind
140,6,8,5,2,raceblind
141,6,8,5,2,raceblind
142,6,8,5,2,raceblind
143,6,8,5,2,raceblind
144,5,9,5,2,raceblind
145,5,9,5,2,raceblind
146,5,9,5,1,raceblind
147,5,9,5,1,raceblind
148,5,9,5,1,raceblind
149,5,9,5,1,raceblind
150,6,8,5,1,raceblind
151,6,8,5,1,raceblind
152,6,8,5,1,raceblind
153,6,8,5,1,raceblind
154,6,8,5,1,raceblind
155,6,8,5,1,raceblind
156,6,8,5,1,raceblind
157,6,8,5,2,raceblind
158,6,8,5,2,raceblind
159,6,8,5,2,raceblind
160,6,8,5,2,raceblind
161,6,8,5,2,raceblind
162,7,7,5,2,raceblind
163,7,7,5,2,raceblind
164,7,7,5,2,raceblind
165,6,8,5,2,raceblind
166,6,8,5,2,raceblind
167,6,8,5,2,raceblind
168,6,8,5,2,raceblind
169,6,8,5,2,raceblind
170,7,7,5,2,raceblind
171,7,7,5,2,raceblind
172,7,7,5,2,raceblind
173,7,7,5,2,raceblind
174,7,7,5,2,raceblind
175,7,7,5,3,raceblind
176,6,8,5,3,raceblind
177,6,8,5,3,raceblind
178,6,8,4,3,raceblind
179,6,8,4,3,raceblind
180,6,8,5,3,raceblind
181,6,8,5,2,raceblind
182,6,8,5,2,raceblind
183,6,8,5,2,raceblind
184,6,8,5,2,raceblind
185,6,8,5,2,raceblind
186,6,8,5,2,raceblind
187,6,8,5,2,raceblind
188,6,8,5,2,raceblind
189,6,8,5,2,raceblind
190,6,8,5,2,raceblind
191,6,8,5,2,raceblind
192,7,7,5,2,raceblind
193,7,7,5,2,raceblind
194,7,7,5,2,raceblind
195,7,7,5,2,raceblind
196,7,7,5,2,raceblind
197,7,7,5,2,raceblind
198,7,7,5,2,raceblind
199,7,7,5,2,raceblind
200,6,8,5,2,raceblind
201,6,8,5,2,raceblind
202,6,8,5,2,raceblind
203,6,8,5,3,raceblind
204,6,8,5,2,raceblind
205,6,8,5,2,raceblind
206,6,8,5,2,raceblind
207,6,8,5,1,raceblind
208,6,8,5,1,raceblind
209,6,8,5,2,raceblind
210,6,8,5,2,raceblind
211,6,8,5,2,raceblind
212,6,8,5,2,raceblind
213,6,8,5,3,raceblind
214,6,8,5,3,raceblind
215,6,8,5,3,raceblind
216,6,8,5,3,raceblind
217,6,8,5,3,raceblind
218,6,8,5,3,raceblind
219,6,8,5,3,raceblind
220,6,8,5,3,raceblind
221,5,9,5,3,raceblind
222,5,9,5,3,raceblind
223,5,9,5,3,raceblind
224,6,8,5,3,raceblind
225,6,8,5,3,raceblind
226,6,8,5,3,raceblind
227,6,8,5,2,raceblind
228,6,8,5,2,raceblind
229,6,8,5,2,raceblind
230,6,8,5,2,raceblind
231,6,8,5,2,raceblind
232,6,8,5,2,raceblind
233,7,7,5,2,raceblind
234,7,7,5,2,raceblind
235,7,7,5,2,raceblind
236,7,7,5,2,raceblind
237,6,8,5,2,raceblind
238,6,8,5,2,raceblind
239,6,8,5,2,raceblind
240,6,8,5,2,raceblind
241,6,8,6,2,raceblind
242,6,8,6,2,raceblind
243,6,8,6,2,raceblind
244,6,8,6,2,raceblind
245,6,8,6,2,raceblind
246,6,8,5,2,raceblind
247,6,8,5,2,raceblind
248,6,8,5,2,raceblind
249,6,8,5,2,raceblind
250,5,9,5,4,raceblind
251,5,9,5,4,raceblind
252,5,9,5,4,raceblind
253,5,9,5,4,raceblind
254,5,9,5,4,raceblind
255,5,9,5,3,raceblind
256,5,9,5,3,raceblind
257,5,9,5,3,raceblind
258,4,10,4,3,raceblind
259,4,10,4,3,raceblind
260,4,10,3,3,raceblind
261,4,10,3,3,raceblind
262,4,10,4,3,raceblind
263,4,10,4,3,raceblind
264,4,10,4,3,raceblind
265,4,10,4,3,raceblind
266,4,10,4,3,raceblind
267,4,10,4,3,raceblind
268,4,10,4,2,raceblind
269,4,10,4,2,raceblind
270,5,9,5,2,raceblind
271,5,9,5,2,raceblind
272,5,9,4,2,raceblind
273,5,9,4,2,raceblind
274,6,8,5,2,raceblind
275,5,9,4,2,raceblind
276,5,9,4,3,raceblind
277,5,9,4,3,raceblind
278,5,9,4,3,raceblind
279,5,9,4,3,raceblind
280,5,9,4,3,raceblind
281,5,9,4,3,raceblind
282,4,10,3,3,raceblind
283,4,10,3,3,raceblind
284,4,10,3,2,raceblind
285,4,10,3,2,raceblind
286,4,10,3,2,raceblind
287,4,10,3,2,raceblind
288,4,10,3,3,raceblind
289,4,10,3,3,raceblind
290,4,10,3,3,raceblind
291,5,9,3,3,raceblind
292,5,9,3,3,raceblind
293,5,9,3,3,raceblind
294,5,9,3,3,raceblind
295,5,9,3,3,raceblind
296,5,9,3,3,raceblind
297,5,9,3,3,raceblind
298,5,9,3,3,raceblind
299,5,9,3,3,raceblind
300,5,9,3,3,raceblind
301,5,9,3,3,raceblind
302,5,9,3,3,raceblind
303,5,9,3,3,raceblind
304,5,9,3,3,raceblind
305,5,9,3,2,raceblind
306,5,9,3,2,raceblind
307,6,8,4,2,raceblind
308,5,9,4,2,raceblind
309,6,8,4,2,raceblind
310,6,8,5,2,raceblind
311,6,8,5,2,raceblind
312,6,8,4,2,raceblind
313,7,7,4,2,raceblind
314,7,7,4,3,raceblind
315,7,7,4,2,raceblind
316,7,7,5,2,raceblind
317,7,7,5,2,raceblind
318,7,7,5,2,raceblind
319,7,7,5,2,raceblind
320,7,7,5,2,raceblind
321,6,8,5,2,raceblind
322,6,8,5,2,raceblind
323,6,8,5,2,raceblind
324,6,8,5,2,raceblind
325,6,8,5,2,raceblind
326,6,8,5,2,raceblind
327,6,8,5,2,raceblind
328,6,8,5,2,raceblind
329,6,8,5,2,raceblind
330,6,8,5,2,raceblind
331,6,8,5,2,raceblind
332,6,8,5,2,raceblind
333,6,8,5,2,raceblind
334,6,8,5,2,raceblind
335,6,8,5,2,raceblind
336,6,8,5,2,raceblind
337,6,8,5,2,raceblind
338,6,8,5,2,raceblind
339,6,8,5,2,raceblind
340,6,8,5,2,raceblind
341,6,8,5,2,raceblind
342,6,8,4,2,raceblind
343,6,8,4,2,raceblind
